no	smiles	active_g10	active_g20	active_g40	active_g60	active_g80	active_g100	N_matches	atom_match_count	c1ccccc1CNCC	c1ccccc1Cc1ccccc1	c1ccccc1CN2CCCCC2	CCNCc1ccccc1	Cc1ccccc1	Oc1ccccc1	c1ccccc1C(F)(F)F	CCOc1ccccc1	c1ccccc1CCNC	COc1ccccc1	n1ccccc1C	NCCc1ccccc1	c1cc(C)ccc1C	n1ccccc1	CCc1ccccc1
A1	C=1([C@@H](C(=C(C)NC1C)C(OC)=O)c1cc(ccc1)[N+](=O)[O-])C(OCC)=O	1	1	1	1	1	1	2.0	"[1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.
 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A2	C1(\c2c(CCc3c1cccc3)cccc2)=C\CCN(C)C	1	1	1	1	1	1	3.0	[3. 3. 2. 0. 0. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0.]	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A3	c1(c2c(cccc2)oc1CCCC)C(c1cc(c(OCCN(CC)CC)c(c1)I)I)=O	1	1	1	1	1	1	5.0	"[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 5. 5. 5. 5. 3. 2. 1. 0. 0. 0.
 0. 0. 5. 5. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
A4	[H][C@H]1CC[C@@H](C#N)C1C(=O)C3CN(C(C)c2ccc(C#N)cc2)C[C@@H]3N	1	1	1	1	1	1	5.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 5. 1. 5. 5. 5. 5. 1. 0. 5. 5. 0. 0.
 0.]"	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0
A5	[nH]1ccnc1-c2ccc(cc2)OCCCN3CCCCC3	1	1	1	1	1	1	4.0	[0. 0. 0. 0. 1. 4. 4. 4. 4. 4. 4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A6	[NH+](CC\C=C/1\c2c(CCc3c\1cccc3)cccc2)(C)C	1	1	1	1	1	1	3.0	[0. 0. 0. 0. 3. 3. 2. 0. 0. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 0. 0.]	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A7	[S+]12[C@@H]([C@H]3N(Cc4ccccc4)C(=O)N([C@H]3C1)Cc1ccccc1)CCC2	1	1	1	1	1	1	3.0	"[0. 2. 2. 2. 3. 3. 3. 3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A8	C[C@@H]([C@@H](O)c2ccc1NC(O)CCc1c2)N4CCC(O)(c3ccccc3)CC4	1	1	1	1	1	1	4.0	"[0. 3. 4. 0. 4. 4. 4. 4. 0. 0. 0. 0. 0. 4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
A9	C[C@H]([C@H](O)c2ccc1NC(=O)CCc1c2)N4CCC(O)(c3cccc(F)c3)CC4	1	1	1	1	1	1	4.0	"[0. 3. 4. 0. 4. 4. 4. 4. 0. 0. 0. 0. 0. 4. 4. 2. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
A10	C=C6COc5cc4CCN(CCCSc3nnc(c1cccc2nc(C)ccc12)n3C)CCc4cc5N6C(C)=O	1	1	1	1	1	1	9.0	"[0. 1. 2. 3. 7. 7. 7. 4. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2.
 2. 1. 2. 2. 2. 0. 0. 0. 0. 7. 7. 7. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
A11	c12n(c(n(C)c(c1[nH]cn2)=O)=O)CC(C)C	1	1	1	1	1	1	0.0	[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A12	c1cc(C)nc(c12)cc(F)cc2N(C[C@H]3C)CCN3CCc(ccc4)c(c45)ccc(=O)n5C	1	1	1	1	1	1	6.0	"[2. 2. 2. 1. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 3. 4. 4. 4. 4.
 4. 4. 4. 0. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A13	c1cc(C)nc(c12)cccc2N(CC3)C[C@@H](C)N3CCc(ccc4)c(c45)OCC(=O)N5C	1	1	1	1	1	1	9.0	"[2. 2. 2. 1. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 2. 3. 4. 7. 7. 7. 7.
 7. 7. 3. 2. 1. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
A14	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c(n4)C)cc(c45)cccn5	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A15	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c(n4)C)cc(c4C)C(=O)N	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A16	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(c4)nc(n45)SCC5	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A17	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c(cn4)cc(c45)OCO5	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A18	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4[nH]ncc4	1	1	1	1	1	1	6.0	[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A19	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C(F)(F)F)nccc4O	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A20	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)[nH]nc4C	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A21	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)n(C)nc4	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A22	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c(C)nc(o4)C	1	1	1	1	1	1	6.0	"[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.
 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A23	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4c[nH]nc4	1	1	1	1	1	1	6.0	[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A24	C1CC[C@@H](C)N1CCc(cc2)cc(c23)ccc(n3)-c4cncnc4	1	1	1	1	1	1	6.0	[0. 0. 0. 1. 0. 2. 3. 4. 4. 4. 4. 4. 6. 6. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A25	c1ccc(cc1)CN(c1cccc2c1cc[nH]2)C1CCNC1	1	1	1	1	1	1	3.0	[3. 3. 3. 3. 3. 3. 3. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 0. 0. 0.]	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A26	C1CCC(CN1)N(c1cccc2c1cc[nH]2)Cc1ccccc1	1	1	1	1	1	1	3.0	[0. 0. 2. 2. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 3. 3. 3. 3. 3.]	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A27	c1ccccc1-c2ccc(cn2)N(C3)[C@@H](C4)CN([C@H]34)C	1	1	1	1	1	1	3.0	[1. 1. 1. 1. 1. 2. 3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
A28	C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42	1	1	1	1	1	1	3.0	"[2. 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 3.
 3. 3. 3.]"	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A29	CC#CCn1c(N2CCNCCC2)c(c2c1c(=O)n(Cc1nccc3c1cccc3)c(=O)n2C)C#N	1	1	1	1	1	1	2.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2. 2.
 2. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
A30	CC(=O)C3=NN2c1cc(F)ccc1OC[C@H]2[C@@]3(CCCN4CCN(C(C)=O)CC4)c5ccccc5	1	1	1	1	1	1	7.0	"[0. 0. 0. 1. 0. 2. 4. 3. 3. 0. 3. 3. 3. 3. 2. 3. 4. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 4. 4. 4. 4. 4. 4.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0
A31	CC(=O)N1CCC2(C1)CCCN(C2)c1ccc(cn1)C(=O)Nc1cc(ccc1N)c1cccs1	1	1	1	1	1	1	2.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1.
 1. 1. 1. 1. 0. 1. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
A32	CC(=O)N1CCC2(C1)CCN(C2)c1ccc(cn1)C(=O)Nc1cc(ccc1N)c1cccs1	1	1	1	1	1	1	2.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1.
 1. 1. 1. 0. 1. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
A33	CC(c1ccc(cc1)OS(=O)(=O)C(F)(F)F)C(=O)NCCCN1CCCC1	1	1	1	1	1	1	5.0	"[1. 4. 5. 5. 5. 5. 5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 2. 0. 2. 1. 0. 0. 0. 0.
 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
A34	CC(c1ccc(cc1)OS(=O)(=O)C(F)(F)F)C(=O)NCCN1CCCC1	1	1	1	1	1	1	5.0	"[1. 4. 5. 5. 5. 5. 5. 5. 1. 0. 0. 0. 0. 0. 0. 0. 2. 0. 2. 1. 0. 0. 0. 0.
 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
A35	CC(OC(=O)N2CCC(CNc1ncccn1)CC2)c3ccccc3	1	1	1	1	1	1	2.0	"[1. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 2. 2. 2. 2.
 2.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A36	CC(Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34)C(=O)N(C)C	1	1	1	1	1	1	5.0	"[1. 2. 3. 3. 3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2. 2. 2.
 2. 0. 0. 0. 3. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
A37	CC(Oc3cccc4ncnc(Nc2ccc(OCc1ccccn1)c(Cl)c2)c34)C(=O)N5CCOCC5	1	1	1	1	1	1	5.0	"[1. 2. 3. 3. 3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2. 2. 2.
 2. 0. 0. 0. 3. 0. 0. 0. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
A38	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@@H]([C@](C2)(C)OC)O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C(C)C)C)[C@](C[C@H]([C@@H]([C@@H]([C@H]([C@]1(C)O)O)C)O)C)(C)O	1	1	1	1	1	1	0.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A39	CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F	1	1	1	1	1	1	2.0	"[2. 2. 2. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
A40	Cc1ccc2c(n1)cccc2c1nnc(n1C)SCCC(N1CCc2c(CC1)c(Br)c1c(c2)nc(o1)C)C	1	1	1	1	1	1	6.0	"[1. 2. 2. 2. 3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2.
 3. 3. 1. 1. 3. 0. 3. 3. 3. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A41	Cc1ccc2c(n1)cccc2c1nnc(n1C)SCCCN1CCc2c(CC1)cc1c(c2)N(CCO1)C(=O)C	1	1	1	1	1	1	9.0	"[1. 2. 2. 2. 3. 3. 2. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2.
 6. 6. 1. 1. 6. 6. 6. 6. 0. 1. 2. 3. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
A42	Cc1nc2c(F)cccc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1	1	1	1	1	1	1	3.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 3. 3. 3. 3. 3. 2. 1. 0. 0.
 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A43	Cc1nc2c(o1)cc1c(c2)CCN(CC1)CCCSc1nnc(n1C)c1ccc(c(c1)F)F	1	1	1	1	1	1	4.0	"[0. 0. 0. 4. 4. 0. 4. 4. 4. 4. 3. 3. 2. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
A44	Cc1nc2ccc(cc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1)C	1	1	1	1	1	1	4.0	"[0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 3. 3. 3. 3. 3. 3. 3. 2. 1. 0. 0. 0.
 0. 0. 0. 1.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
